geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01001,-23.55022651431653,-46.63403856911852,Sao Paulo,SP
01002,-23.547657125819924,-46.634990509252304,Sao Paulo,SP
01003,-23.548999834572523,-46.6355816587524,Sao Paulo,SP
01004,-23.54982914119189,-46.634792029508745,Sao Paulo,SP
01005,-23.549547473955094,-46.63640612884047,Sao Paulo,SP
01006,-23.550126527377728,-46.63604449748152,Sao Paulo,SP
01007,-23.54996155949427,-46.63720394806338,Sao Paulo,SP
01008,-23.546000168650405,-46.6358765930847,Sao Paulo,SP
01009,-23.546891363358633,-46.63649824045029,Sao Paulo,SP
01010,-23.546667245013698,-46.63540396425167,Sao Paulo,SP
01011,-23.54664946252287,-46.63542523302689,Sao Paulo,SP
01012,-23.54780758661154,-46.63484393782474,Sao Paulo,SP
01013,-23.547240037691147,-46.63422056848348,Sao Paulo,SP
01014,-23.546039952915958,-46.63360037350613,Sao Paulo,SP
01015,-23.54775552284429,-46.63173753749301,Sao Paulo,SP
01016,-23.549094879405775,-46.632111638548466,Sao Paulo,SP
01017,-23.549512688320345,-46.63123527502329,Sao Paulo,SP
01018,-23.55135443999642,-46.632762349404075,Sao Paulo,SP
01019,-23.55176219310775,-46.63085454231535,Sao Paulo,SP
01020,-23.5522091334468,-46.629768255571584,Sao Paulo,SP
01021,-23.54283546451365,-46.632099226263165,Sao Paulo,SP
01022,-23.5447808268089,-46.632062988389954,Sao Paulo,SP
01023,-23.542358619043885,-46.63136439141381,Sao Paulo,SP
01024,-23.541311511033662,-46.62987872437637,Sao Paulo,SP
01025,-23.54030305184919,-46.63108692434232,Sao Paulo,SP
01026,-23.539639404937706,-46.63215384647908,Sao Paulo,SP
01027,-23.53808102090296,-46.630536612116316,Sao Paulo,SP
01028,-23.535984997728484,-46.63331686707666,Sao Paulo,SP
01029,-23.540574380051,-46.63312870430693,Sao Paulo,SP
01030,-23.540250348896965,-46.633066558397196,Sao Paulo,SP
01031,-23.54164447351783,-46.63506595676559,Sao Paulo,SP
01032,-23.539922494656143,-46.635130888327446,Sao Paulo,SP
01033,-23.539148664865415,-46.63602255146723,Sao Paulo,SP
01034,-23.54251930800989,-46.637266018467486,Sao Paulo,SP
01035,-23.541612840173386,-46.64158346016764,Sao Paulo,SP
01036,-23.541975917853787,-46.640841778965324,Sao Paulo,SP
01037,-23.54533514931352,-46.63899521271491,Sao Paulo,SP
01038,-23.543879126646612,-46.63995414482916,Sao Paulo,SP
01039,-23.54121489487162,-46.638913511868594,Sao Paulo,SP
01040,-23.54114254889919,-46.63848150816681,Sao Paulo,SP
01041,-23.544036423155262,-46.63988866258875,Sao Paulo,SP
01042,-23.54478500857678,-46.64051906455985,Sao Paulo,SP
01043,-23.54565351235498,-46.64157516374282,Sao Paulo,SP
01044,-23.545556845099416,-46.64150085333575,Sao Paulo,SP
01045,-23.54245035597841,-46.64271110763996,Sao Paulo,SP
01046,-23.54588497157669,-46.64374420942636,Sao Paulo,SP
01047,-23.546124849824686,-46.64103782520949,Sao Paulo,SP
01048,-23.54702135454196,-46.63973667645345,Sao Paulo,SP
01049,-23.54748584739232,-46.63965922482542,Sao Paulo,SP
01050,-23.54918231337722,-46.64309316226119,Sao Paulo,SP
01101,-23.528286860378213,-46.631957535031056,Sao Paulo,SP
01102,-23.527449444654916,-46.630814386890506,Sao Paulo,SP
01103,-23.53559638353518,-46.62904496985183,Sao Paulo,SP
01104,-23.534957712733355,-46.62947208379825,Sao Paulo,SP
01105,-23.534160979143845,-46.62904232881417,Sao Paulo,SP
01106,-23.530213043765993,-46.62817277612975,Sao Paulo,SP
01107,-23.527108941080648,-46.62856245072097,Sao Paulo,SP
01108,-23.527232171325494,-46.63035441819986,Sao Paulo,SP
01109,-23.524742023073763,-46.626928981251915,Sao Paulo,SP
01120,-23.529974618201887,-46.6396120369992,Sao Paulo,SP
01121,-23.52770080740106,-46.63501591239576,Sao Paulo,SP
01122,-23.53106391760046,-46.638626629130016,Sao Paulo,SP
01123,-23.52907864367055,-46.63641980300659,Sao Paulo,SP
01124,-23.528361038348763,-46.63330445274645,Sao Paulo,SP
01125,-23.526973050419656,-46.64038788039167,Sao Paulo,SP
01126,-23.52728829266091,-46.639533719614995,Sao Paulo,SP
01127,-23.525664165329083,-46.6418748829316,Sao Paulo,SP
01128,-23.523949985029173,-46.642265775876474,Sao Paulo,SP
01129,-23.523812480376826,-46.64387822923278,Sao Paulo,SP
01130,-23.524811963718196,-46.644911697855385,Sao Paulo,SP
01131,-23.522385125791487,-46.63935625466215,Sao Paulo,SP
01132,-23.52249954133886,-46.648515374210525,Sao Paulo,SP
01133,-23.519990916902305,-46.65377696841709,São Paulo,SP
01134,-23.519484462073596,-46.651667399070604,Sao Paulo,SP
01135,-23.52553172479808,-46.65156752952969,Sao Paulo,SP
01136,-23.524227692401496,-46.660871214751204,Sao Paulo,SP
01137,-23.522767662334495,-46.653450070470186,Sao Paulo,SP
01138,-23.522198074719913,-46.654774012697544,Sao Paulo,SP
